zone_id,weighted_inflow,downstream_count,pagerank,weighted_inflow_norm,pagerank_norm,sequential_centrality,visits,unique_users,latitude,longitude,category_count
882a100d2dfffff,0.001829333533122643,5,0.05074166335948583,1.0,0.7018056231375975,0.9105416869412792,6660,758,40.75038700367267,-73.99023391793543,6
882a100d67fffff,0.0012612415866304206,5,0.04183959372713819,0.6894541447985713,0.5636176989752673,0.65170321105158,6847,759,40.75529990423689,-73.9818758391865,6
882a1072c1fffff,0.0012972050090377229,4,0.02578433171098181,0.7091134479032999,0.3143898877443787,0.5906963798556235,3800,522,40.72348830045,-74.00081676979737,6
882a107251fffff,0.0010484349740669692,1,0.03680809210520175,0.5731240121517411,0.48551307912054315,0.5468407322423817,505,175,40.75923890388119,-74.00187790150495,5
882a1072c9fffff,0.0005628966805445124,5,0.06995135279432604,0.3077058777704997,1.0,0.5153941144393498,4007,628,40.72818703139506,-73.99289312378089,6
882a103b03fffff,0.0007795778813084279,1,0.04189509045014143,0.42615404309442734,0.5644791814469121,0.46765158460017275,758,292,40.64534936960422,-73.78491935671505,3
882a100d65fffff,0.0006468028647419751,5,0.04686572783997506,0.35357295595948157,0.6416389983246453,0.4399927686690307,4530,615,40.76267205497351,-73.98385575445695,6
882a1072cbfffff,0.0004169970804056031,3,0.05292991138340566,0.22795027416011762,0.735774066933971,0.3802974119922736,2801,521,40.72083956385577,-73.99023877556944,6
882a100d35fffff,0.0003657856199721716,3,0.055952184785917784,0.1999556742109141,0.7826891894832915,0.37477572879262727,2037,430,40.726975172056946,-73.98354183463917,6
882a10724bfffff,0.0004574065321568758,1,0.03680809210520175,0.2500399866262169,0.48551307912054315,0.32068191437451476,141,16,40.77582457092198,-74.0113545087234,3
882a100abbfffff,0.0007762614816104278,1,0.010233024684479815,0.42434114258287386,0.07298503193483796,0.31893430938846307,185,14,40.81616455718919,-73.91778145497297,4
882a100eb9fffff,0.00038934524654524687,3,0.04162568051830258,0.2128344774179265,0.560297097867803,0.31707326355288945,542,88,40.69834200464945,-73.81035214171587,4
